14.56.40.250 23	-0.083750	-0.568125	0.860625	-0.014687	-0.301562	0.959687	0.070312	-0.088125	0.877500	0.088750	-0.089062	0.848125	-0.187812	-0.002812	0.855937	-0.036250	-0.275312	0.852500	-0.059687	0.840000	0.836875	-0.011875	-0.051875	0.847812	-1.408000	-0.139688	0.236250	-0.828250	-0.099938	0.023625	-0.750125	-0.132250	0.093563	1743	001
14.56.40.581 23	1.155000	0.029062	1.249687	0.117812	-0.431250	1.392500	0.672812	0.309375	1.275625	1.183125	0.707187	1.236562	0.268437	1.309062	1.241875	0.868437	0.180000	1.236250	1.038750	1.464375	1.210625	0.717812	0.461250	1.235937	-2.048000	-0.915688	0.346813	-0.881938	-0.596000	0.039563	-0.765000	-0.622250	0.140750	3133	003
14.56.40.914 23	0.419687	-0.465312	1.252187	0.031875	-0.440000	1.394687	0.345625	0.046875	1.277812	0.572812	0.209687	1.237500	-0.038437	0.548750	1.244062	0.337812	-0.158750	1.238125	0.388125	1.326562	1.210312	0.294062	0.168125	1.235000	-2.048000	-0.290125	0.331563	0.730125	-0.731500	0.036063	0.761500	-0.672500	0.141500	3721	005
14.56.41.248 23	-0.162500	-0.878750	1.254687	-0.029062	-0.465000	1.396250	0.070000	-0.169375	1.276250	0.094375	-0.210000	1.234062	-0.303437	-0.075625	1.244687	-0.072500	-0.443750	1.239375	-0.130000	1.175000	1.212187	-0.027500	-0.135000	1.234687	-2.048000	0.123375	0.326188	1.143813	0.167813	0.029000	0.975250	0.112750	0.135250	3694	007
14.56.41.575 23	-0.139375	-0.867812	1.253750	-0.036562	-0.453750	1.392812	0.072500	-0.164062	1.274062	0.110312	-0.188437	1.236562	-0.300312	-0.060937	1.242187	-0.069062	-0.438750	1.237500	-0.102187	1.179687	1.215000	-0.020000	-0.113750	1.237187	-2.048000	0.118438	0.327125	1.176000	0.184000	0.028000	1.017563	0.099250	0.135875	3693	009
14.56.41.906 23	-0.136562	-0.862812	1.255312	-0.024687	-0.455937	1.391562	0.085312	-0.146562	1.277812	0.118750	-0.185312	1.234687	-0.286875	-0.046875	1.244687	-0.063437	-0.431562	1.237812	-0.094062	1.175000	1.218437	-0.011562	-0.114062	1.236875	-2.048000	0.116625	0.326938	1.175313	0.183063	0.029250	1.017938	0.099000	0.134938	3693	011
14.56.42.237 23	-0.137187	-0.855625	1.251875	-0.010625	-0.450937	1.393437	0.086875	-0.157500	1.276875	0.111875	-0.177500	1.232812	-0.287187	-0.038437	1.247187	-0.058750	-0.431250	1.235625	-0.093437	1.179375	1.215000	-0.009062	-0.124375	1.232812	-2.048000	0.114938	0.325250	1.177813	0.183063	0.028313	1.015000	0.098500	0.135500	3692	013
14.56.42.569 23	-0.140312	-0.865937	1.252187	-0.021875	-0.464062	1.391875	0.085937	-0.161875	1.276562	0.119687	-0.188750	1.236250	-0.290312	-0.053437	1.244687	-0.073437	-0.448750	1.240625	-0.103125	1.175000	1.215312	-0.014062	-0.113750	1.235625	-2.048000	0.116438	0.327750	1.175438	0.181813	0.029188	1.017438	0.096938	0.136250	3692	015
14.56.42.898 23	-0.141250	-0.870625	1.255000	-0.027812	-0.464375	1.394062	0.086250	-0.160312	1.276875	0.112187	-0.189062	1.235937	-0.299375	-0.047500	1.245000	-0.061875	-0.442187	1.242812	-0.101250	1.169375	1.218125	-0.013125	-0.123437	1.232500	-2.048000	0.117438	0.328125	1.175000	0.182750	0.030500	1.015563	0.097188	0.136000	3692	017
14.56.43.231 23	-0.140312	-0.869687	1.254062	-0.014062	-0.458125	1.393437	0.092500	-0.149375	1.275625	0.119375	-0.190000	1.238437	-0.292500	-0.059062	1.242500	-0.070000	-0.437500	1.239687	-0.102500	1.165312	1.218125	-0.015625	-0.113125	1.235937	-2.048000	0.115938	0.328750	1.175125	0.183688	0.028875	1.015500	0.097500	0.135250	3692	019
14.56.43.563 23	-0.137500	-0.867500	1.252500	-0.024062	-0.462500	1.394062	0.090000	-0.165312	1.274687	0.114375	-0.199062	1.238125	-0.289687	-0.057500	1.244062	-0.067187	-0.435625	1.240937	-0.101250	1.179375	1.215937	-0.022187	-0.115937	1.235000	-2.048000	0.116125	0.328875	1.175375	0.183063	0.029375	1.016500	0.095875	0.135750	3692	021
